lambda [nm],dlambda [nm],theta [deg],I [nA],dI [nA],
614,0.1,7.85,0.80,0.05,
615,0.1,7.81,0.80,0.05,
616,0.1,7.84,0.80,0.05,
617,0.1,7.76,0.79,0.05,
618,0.1,7.79,0.79,0.05,
619,0.1,7.85,0.80,0.05,
620,0.1,7.71,0.79,0.05,
621,0.1,7.63,0.78,0.05,
622,0.1,7.63,0.78,0.05,
623,0.1,7.7,0.79,0.05,
624,0.1,7.8,0.80,0.05,
625,0.1,7.69,0.78,0.05,
626,0.1,7.69,0.78,0.05,
627,0.1,8.37,0.85,0.05,
628,0.1,7.57,0.77,0.05,
629,0.1,7.58,0.77,0.05,
630,0.1,7.62,0.78,0.05,
631,0.1,7.54,0.77,0.05,
632,0.1,8.3,0.85,0.05,
633,0.1,7.48,0.76,0.05,
634,0.1,7.36,0.75,0.05,
635,0.1,7.51,0.77,0.05,
636,0.1,7.43,0.76,0.05,
637,0.1,7.48,0.76,0.05,
638,0.1,7.55,0.77,0.05,
639,0.1,7.58,0.77,0.05,
640,0.1,7.47,0.76,0.05,
641,0.1,7.44,0.76,0.05,
642,0.1,7.45,0.76,0.05,
643,0.1,7.59,0.77,0.05,
644,0.1,7.55,0.77,0.05,
645,0.1,7.48,0.76,0.05,
646,0.1,8.13,0.83,0.05,
647,0.1,7.44,0.76,0.05,
648,0.1,8.32,0.85,0.05,
649,0.1,7.49,0.76,0.05,
650,0.1,8.22,0.84,0.05,
651,0.1,7.49,0.76,0.05,
652,0.1,7.45,0.76,0.05,
653,0.1,7.43,0.76,0.05,
654,0.1,7.58,0.77,0.05,
655,0.1,7.56,0.77,0.05,
656,0.1,7.6,0.78,0.05,
657,0.1,7.63,0.78,0.05,
658,0.1,7.53,0.77,0.05,
659,0.1,7.61,0.78,0.05,
660,0.1,7.73,0.79,0.05,
661,0.1,8.43,0.86,0.05,
662,0.1,8.27,0.84,0.05,
663,0.1,7.85,0.80,0.05,
664,0.1,7.59,0.77,0.05,
665,0.1,7.53,0.77,0.05,
666,0.1,7.69,0.78,0.05,
667,0.1,7.54,0.77,0.05,
668,0.1,7.47,0.76,0.05,
669,0.1,7.49,0.76,0.05,
670,0.1,7.68,0.78,0.05,
671,0.1,7.59,0.77,0.05,
672,0.1,7.54,0.77,0.05,
673,0.1,7.49,0.76,0.05,
674,0.1,7.54,0.77,0.05,
675,0.1,7.49,0.76,0.05,
676,0.1,7.5,0.77,0.05,
677,0.1,7.67,0.78,0.05,
678,0.1,7.56,0.77,0.05,
679,0.1,8.39,0.86,0.05,
680,0.1,7.5,0.77,0.05,
681,0.1,7.66,0.78,0.05,
682,0.1,8.5,0.87,0.05,
683,0.1,7.68,0.78,0.05,
684,0.1,8.33,0.85,0.05,
685,0.1,7.69,0.78,0.05,
686,0.1,7.64,0.78,0.05,
687,0.1,8.69,0.89,0.05,
688,0.1,7.76,0.79,0.05,
689,0.1,7.82,0.80,0.05,
690,0.1,7.73,0.79,0.05,
691,0.1,7.68,0.78,0.05,
692,0.1,7.83,0.80,0.05,
693,0.1,7.61,0.78,0.05,
694,0.1,7.59,0.77,0.05,
695,0.1,7.63,0.78,0.05,
696,0.1,7.69,0.78,0.05,
697,0.1,8.51,0.87,0.05,
698,0.1,8.75,0.89,0.05,
699,0.1,7.65,0.78,0.05,
700,0.1,7.72,0.79,0.05,
