lambda [nm],dlambda [nm],theta [deg],I [nA],dI [nA],
544,0.1,76.65,8.07,0.05,
545,0.1,77.75,8.18,0.05,
546,0.1,77.54,8.16,0.05,
547,0.1,74.7,7.86,0.05,
548,0.1,73.6,7.75,0.05,
549,0.1,73.1,7.69,0.05,
550,0.1,74.67,7.86,0.05,
551,0.1,75.99,8.00,0.05,
552,0.1,75.3,7.93,0.05,
553,0.1,75.15,7.91,0.05,
554,0.1,75.51,7.95,0.05,
555,0.1,75.54,7.95,0.05,
556,0.1,77.88,8.20,0.05,
557,0.1,79.05,8.32,0.05,
558,0.1,80.1,8.43,0.05,
559,0.1,80.37,8.46,0.05,
560,0.1,80.43,8.47,0.05,
561,0.1,81.96,8.63,0.05,
562,0.1,80.07,8.43,0.05,
563,0.1,79.95,8.42,0.05,
564,0.1,81.75,8.61,0.05,
565,0.1,85.32,8.98,0.05,
566,0.1,83.1,8.75,0.05,
567,0.1,85.44,8.99,0.05,
568,0.1,91.41,9.62,0.05,
569,0.1,93.75,9.87,0.05,
570,0.1,97.95,10.31,0.05,
571,0.1,98.58,10.38,0.05,
572,0.1,93.6,9.85,0.05,
573,0.1,92.43,9.73,0.05,
574,0.1,92.19,9.70,0.05,
575,0.1,84.19,8.86,0.05,
576,0.1,84.03,8.85,0.05,
577,0.1,83.67,8.81,0.05,
578,0.1,85.19,8.97,0.05,
579,0.1,85.47,9.00,0.05,
580,0.1,84.86,8.93,0.05,
581,0.1,91.77,9.66,0.05,
582,0.1,90.39,9.51,0.05,
583,0.1,92.19,9.70,0.05,
584,0.1,177.87,18.72,0.05,
585,0.1,91.13,9.59,0.05,
586,0.1,87.04,9.16,0.05,
587,0.1,86.25,9.08,0.05,
588,0.1,88.25,9.29,0.05,
589,0.1,87.83,9.25,0.05,
590,0.1,88.33,9.30,0.05,
591,0.1,79.07,8.32,0.05,
592,0.1,81.43,8.57,0.05,
593,0.1,86.05,9.06,0.05,
594,0.1,86.83,9.14,0.05,
595,0.1,80.59,8.48,0.05,
596,0.1,77.44,8.15,0.05,
597,0.1,76.97,8.10,0.05,
598,0.1,76.72,8.08,0.05,
599,0.1,78.21,8.23,0.05,
600,0.1,77.03,8.11,0.05,
601,0.1,75.69,7.97,0.05,
602,0.1,74.07,7.80,0.05,
603,0.1,72.99,7.68,0.05,
604,0.1,75.05,7.90,0.05,
605,0.1,74.95,7.89,0.05,
606,0.1,73.44,7.73,0.05,
607,0.1,72.57,7.64,0.05,
608,0.1,72.07,7.59,0.05,
609,0.1,71.61,7.54,0.05,
610,0.1,71.62,7.54,0.05,
611,0.1,71.42,7.52,0.05,
612,0.1,71.03,7.48,0.05,
613,0.1,71.95,7.57,0.05,
614,0.1,72.04,7.58,0.05,
615,0.1,71.38,7.51,0.05,
616,0.1,70.38,7.41,0.05,
617,0.1,69.65,7.33,0.05,
618,0.1,69.58,7.32,0.05,
619,0.1,70.08,7.38,0.05,
620,0.1,70.13,7.38,0.05,
621,0.1,69.88,7.36,0.05,
622,0.1,69.25,7.29,0.05,
623,0.1,69.18,7.28,0.05,
624,0.1,69,7.26,0.05,
625,0.1,69.59,7.33,0.05,
626,0.1,69.12,7.28,0.05,
627,0.1,68.84,7.25,0.05,
628,0.1,68.86,7.25,0.05,
629,0.1,68.92,7.25,0.05,
630,0.1,69.03,7.27,0.05,
631,0.1,68.95,7.26,0.05,
632,0.1,68.81,7.24,0.05,
633,0.1,68.43,7.20,0.05,
634,0.1,68.53,7.21,0.05,
635,0.1,68.69,7.23,0.05,
636,0.1,69.07,7.27,0.05,
637,0.1,69.2,7.28,0.05,
638,0.1,69.21,7.29,0.05,
639,0.1,68.17,7.18,0.05,
640,0.1,68.57,7.22,0.05,
641,0.1,68.34,7.19,0.05,
642,0.1,68.7,7.23,0.05,
643,0.1,69.36,7.30,0.05,
644,0.1,69.51,7.32,0.05,
645,0.1,69.57,7.32,0.05,
646,0.1,69.07,7.27,0.05,
647,0.1,70.74,7.45,0.05,
648,0.1,78.45,8.26,0.05,
649,0.1,72.69,7.65,0.05,
650,0.1,70.33,7.40,0.05,
651,0.1,70.44,7.41,0.05,
652,0.1,70,7.37,0.05,
653,0.1,71.4,7.52,0.05,
654,0.1,70.73,7.45,0.05,
655,0.1,70.03,7.37,0.05,
656,0.1,69.93,7.36,0.05,
657,0.1,70.8,7.45,0.05,
658,0.1,70.49,7.42,0.05,
659,0.1,70.13,7.38,0.05,
660,0.1,70.04,7.37,0.05,
661,0.1,71.19,7.49,0.05,
662,0.1,69.97,7.37,0.05,
663,0.1,69.8,7.35,0.05,
664,0.1,69.72,7.34,0.05,
665,0.1,69.8,7.35,0.05,
666,0.1,70.46,7.42,0.05,
667,0.1,70.28,7.40,0.05,
668,0.1,70.04,7.37,0.05,
669,0.1,70.1,7.38,0.05,
670,0.1,70.22,7.39,0.05,
671,0.1,69.92,7.36,0.05,
672,0.1,70.03,7.37,0.05,
673,0.1,70.19,7.39,0.05,
674,0.1,70.39,7.41,0.05,
675,0.1,70.14,7.38,0.05,
676,0.1,70.14,7.38,0.05,
677,0.1,69.99,7.37,0.05,
678,0.1,69.96,7.36,0.05,
679,0.1,70.6,7.43,0.05,
680,0.1,70.71,7.44,0.05,
681,0.1,71.06,7.48,0.05,
682,0.1,70.92,7.47,0.05,
683,0.1,70.87,7.46,0.05,
684,0.1,70.91,7.46,0.05,
685,0.1,70.85,7.46,0.05,
686,0.1,71.29,7.50,0.05,
687,0.1,71.07,7.48,0.05,
688,0.1,70.91,7.46,0.05,
689,0.1,71,7.47,0.05,
690,0.1,71.99,7.58,0.05,
691,0.1,72.43,7.62,0.05,
692,0.1,72.43,7.62,0.05,
693,0.1,72.44,7.63,0.05,
694,0.1,72.24,7.60,0.05,
695,0.1,71.72,7.55,0.05,
696,0.1,71.06,7.48,0.05,
697,0.1,70.84,7.46,0.05,
698,0.1,71.29,7.50,0.05,
699,0.1,71.38,7.51,0.05,
700,0.1,71.15,7.49,0.05,
